ID  объявления,numbers_rooms,area_square,parking,price,repair,balcony,ceilings,comfort_cat,district,walking_dist,bath_comb,bath_sep,loggia,elev_pass,elev_cargo,max_floor,type_house,cur_floor
274773909,2,46,0.5,45000,0.64,0,2.64,0,0.25,1,1,0,0,0,0,5,0.28,4
274774047,2,74,0.5,55000,0.64,1,2.64,0,0.25,1,0,1,0,1,0,9,0.28,4
274798578,4,100,0.5,95000,0.64,0,2.64,0,0.25,1,1,0,1,1,0,17,0.28,14
274947112,1,35,0.5,27000,0.4,0,2.64,0,0.25,1,1,0,0,0,0,5,0.28,1
273980565,1,15,0.5,28000,0.4,0,2.64,0,0.25,0,1,0,0,0,0,5,0.41,1
274921159,1,15,0.5,28000,0.4,0,2.64,0,0.25,0,1,0,0,0,0,5,0.41,3
274763901,1,37,0.5,28000,0.4,1,2.64,0,0.25,1,1,0,0,0,0,5,0.28,4
266021349,1,35,0.5,28000,0.4,1,2.64,0,0.25,0,1,0,0,1,0,12,0.28,12
269025632,1,32,0.5,29000,0.4,1,2.64,0,0.25,0,1,0,0,1,0,12,0.28,5
274945968,2,16,0.5,29990,0.64,0,2.64,0,0.25,0,1,0,0,0,0,5,0.41,3
273584415,1,30,0.5,30000,0.4,0,2.64,0,0.25,0,1,0,0,1,0,9,0.28,4
274391820,1,33,0.5,30000,0.4,1,2.64,0,0.25,1,1,0,0,1,0,9,0.28,3
